type,id,description,browser,timeMs,device,os,name
plain,load,Initial load event,chrome-43.0,98.28900001593865,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1165.8579999930225,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,99.20799999963492,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1170.719999994617,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,79.79499999783002,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1225.5570000270382,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,112.49299999326468,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1189.4299999985378,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,99.51500000897795,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1214.6910000010394,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,97.58000000147149,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1173.9530000195373,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,95.81800000160001,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1210.82400000887,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,113.92699999851175,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1191.9319999869913,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,10.578000015811995,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1325.672000006307,laptop,ubuntu-14.04-64bit,
plain,load,Initial load event,chrome-43.0,210.87599999736995,laptop,ubuntu-14.04-64bit,
plain,10000-echo,One 10000 postMessage subsequent `echo`,chrome-43.0,1139.3889999890234,laptop,ubuntu-14.04-64bit,
